HH.VEH.ID,VEHTYPE,URBRUR,ARRHOME,DUR.HOME,DEPHOME,HHVEHMILES,ARRWORK,DUR.WORK,DEPWORK
010000045.01,1,1,230,675,1345,23,1456,609,105
010000577.03,1,1,1710,905,815,10,825,515,1700
010000894.01,3,1,1255,1325,1100,3,1128,47,1215
010001079.01,4,1,1745,1395,1700,39,1000,120,1200
010001574.02,1,1,1245,1165,810,41,850,190,1200
010002188.01,1,1,1645,675,400,44,440,650,1530
010003103.01,4,2,2130,585,715,56,730,120,930
010003103.02,3,2,1910,760,750,17,757,248,1205
010003372.01,1,2,1855,735,710,14,755,605,1800
010003372.02,4,2,2140,530,630,74,637,893,2130
010003710.01,1,1,2105,660,805,42.2222222222,820,245,1225
010004333.01,1,1,1730,819,709,16,732,555,1647
010004333.02,1,1,1920,700,700,79,735,565,1700
010004874.01,1,1,1930,660,630,23.111111111,656,724,1900
010005509.01,1,2,1730,900,830,12,1123,337,1700
010005769.02,1,1,1533,899,632,8.2222222223,648,246,1054
010006029.02,2,1,1732,803,655,12,702,23,725
010006533.02,1,1,2140,890,1230,26,1257,183,1600
010006720.01,2,1,1435,895,530,11.5,540,515,1415
010007295.01,1,1,2125,610,735,8,745,525,1630
010007334.01,1,1,1930,690,700,73.1111111111,850,490,1700
010007334.02,2,1,1930,940,1110,49.7777777778,1335,235,1730
010007576.01,1,2,1604,956,800,12,805,235,1200
010008135.03,2,1,2035,730,845,12.5,900,480,1700
010008265.01,1,2,1911,719,710,33.3333333334,730,255,1145
010008649.01,1,1,2215,615,830,26,930,705,2115
010008667.01,3,1,1820,730,630,64,705,655,1800
010008667.02,1,1,1240,1070,630,24,645,525,1530
010009534.03,4,2,1930,660,630,56,643,497,1500
010009534.04,1,2,1750,760,630,58,715,585,1700
010009888.01,3,1,1425,900,525,32,600,480,1400
010010071.01,1,1,1535,925,700,27.8888888888,735,355,1330
010010071.04,1,1,2045,1310,1835,7.5555555555,715,525,1600
010011108.01,4,1,1550,817,527,68,553,554,1507
010011265.01,2,1,1713,1007,1000,34,1030,270,1500
010011322.02,3,2,1705,835,700,40,730,480,1530
010012860.02,1,1,2242,526,728,71.1111111111,1515,224,1859
010012879.01,2,2,2115,810,1045,56.2222222222,1220,340,1800
010013063.01,1,2,1340,1010,630,21,855,245,1300
010013522.02,4,2,1630,825,615,42,710,530,1600
010013746.01,3,1,1747,843,750,24,845,225,1230
010013746.02,1,1,1755,815,730,25.3333333333,755,575,1730
010013803.02,4,2,1903,710,653,25,1040,90,1210
010013906.01,1,2,2203,747,1030,40,1035,26,1101
010013997.01,2,1,1715,888,803,25.5,830,125,1035
010014350.02,1,1,1723,877,800,27,831,89,1000
010015245.03,1,2,1600,890,650,14,700,530,1550
010015861.01,1,2,1640,850,650,45,730,152,1002
010015861.02,1,2,1842,838,840,41.5,1145,365,1750
010016000.01,1,1,2020,660,720,14,725,470,1515
010016149.03,1,1,1725,1035,1040,36,1046,199,1405
010016185.01,1,1,1555,785,500,54,540,560,1500
010016541.01,1,1,1610,833,603,25,630,540,1530
010017511.01,1,2,2056,609,705,16.1111111111,1730,190,2040
010017511.01,1,2,2056,609,705,16.1111111111,717,588,1705
010017687.01,4,2,1715,810,645,34.6666666666,700,150,930
010017744.01,1,1,1955,545,500,4,545,555,1500
010017829.01,4,1,1645,885,730,22,745,525,1630
010017959.01,1,1,1720,875,755,84,830,450,1600
010019001.01,1,1,1635,1094,1049,38.9444444444,1057,303,1600
010019403.01,3,1,2117,673,830,10,842,743,2105
010020155.01,1,1,1715,870,745,32.1111111111,850,250,1300
010020155.03,1,1,2104,556,620,12,630,522,1512
010020436.01,1,1,2050,642,732,33,1757,168,2045
010020436.01,1,1,2050,642,732,33,752,473,1545
010020593.02,1,2,1810,790,720,50,828,512,1700
010020847.02,4,2,1535,895,630,16,635,320,1155
010021349.02,1,2,2030,780,930,62,950,110,1140
010021406.01,3,1,2030,1410,2000,30,935,535,1830
010021406.03,1,1,1520,975,735,37.5555555556,820,370,1430
010021992.01,4,1,1700,825,645,46,720,535,1615
010022047.01,1,2,1630,885,715,208,750,475,1545
010022458.03,2,1,1745,885,830,36,855,185,1200
010023558.01,4,2,1830,840,830,14.1111111111,930,480,1730
010024265.02,1,1,1955,545,500,30,530,700,1710
010024443.02,1,1,1540,830,530,28,545,615,1600
010024443.02,1,1,1540,830,530,28,605,550,1515
010024443.03,1,1,1430,1035,745,12,1025,230,1415
010024920.01,1,2,1703,927,830,40,908,102,1050
010024920.04,4,2,2115,500,535,41,620,590,1610
010025002.02,3,1,1900,830,850,5.5555555554,852,188,1200
010025002.04,3,1,1625,935,800,5.3333333334,1235,225,1620
010025150.09,4,2,730,1350,600,260,630,45,715
010025785.01,3,1,2205,565,730,8,1800,240,2200
010025785.01,3,1,2205,565,730,8,830,150,1100
010025785.03,1,1,2115,610,725,90.3333333333,730,440,1450
010026090.01,4,1,2015,910,1125,64,1200,270,1630
010026698.01,3,1,1800,840,800,72.3333333333,845,225,1230
010026755.01,1,1,1620,895,715,14.4444444444,953,382,1615
010026755.03,1,1,1750,730,600,26,603,177,900
010026830.01,1,1,1925,1010,1215,53,735,220,1115
010027181.03,1,1,1730,750,600,140,650,580,1630
010027510.01,1,2,2130,525,615,76,640,570,1610
010027734.02,2,1,1800,825,745,61,750,400,1430
010027734.04,1,1,2135,655,830,7.5555555556,910,470,1700
010029381.02,3,1,1755,740,615,77,630,600,1630
010029381.02,3,1,1755,740,615,77,700,540,1600
010030202.01,1,1,2305,715,1100,24.7222222222,630,150,900
010030613.02,2,2,1610,1070,1000,12.6666666666,1445,15,1500
010030640.03,1,1,2020,630,650,17,715,555,1630
010032167.01,1,1,1750,820,730,36,750,530,1640
010032402.01,1,1,1632,958,830,21,1000,380,1620
010032635.01,2,1,2035,625,700,16,755,725,2000
010033061.01,1,2,1901,749,730,58.1111111111,800,330,1330
010033061.02,4,2,1901,554,415,20.7777777777,416,134,630
010033100.02,4,2,1830,750,700,40,720,175,1015
010033605.01,1,1,1850,785,755,6,803,287,1250
010035092.01,3,1,2010,695,745,22,755,275,1230
010035092.02,4,1,1945,735,800,27,815,105,1000
010035289.02,3,1,1740,860,800,90,845,315,1400
010036147.02,1,1,1915,780,815,107,900,105,1045
010036222.03,4,1,1904,732,716,34,752,638,1830
010036231.01,2,1,1800,820,740,16.4444444444,800,490,1610
010036231.02,1,1,1950,655,645,18.2222222222,700,390,1330
010036530.01,2,1,2000,750,830,50.5,845,195,1200
010036530.02,1,1,2035,625,700,6,702,298,1200
010036594.01,1,1,1900,560,420,68,440,515,1315
010036642.02,4,1,1625,870,655,8,710,535,1605
010036857.01,1,1,1442,1133,935,54.5,950,190,1300
010036875.01,1,1,1940,785,845,63.7222222222,900,420,1600
010037180.01,1,1,1645,720,445,8,555,425,1300
010037180.02,1,1,1910,740,730,18,745,675,1900
010037890.01,1,1,1525,845,530,30,555,500,1415
010038150.01,1,1,1200,1170,730,29,755,125,1000
010038543.01,1,1,1745,810,715,2.2222222222,755,545,1700
010038646.01,1,1,1743,882,825,19.5,904,256,1320
010039232.03,1,1,1500,930,630,46,700,450,1430
010039960.01,1,2,1900,720,700,59.5,730,390,1400
010039960.02,3,2,1920,710,710,58,740,285,1225
010040322.01,1,1,1812,823,755,8,800,270,1230
010040537.02,1,1,2200,555,715,29,732,448,1500
010040845.01,2,1,1715,1425,1700,8.5,827,406,1513
010040845.02,4,1,2307,463,650,22,652,748,1920
010040872.02,3,1,1520,1080,920,19.1111111112,1045,30,1115
010041299.01,1,1,1740,800,700,13.5,725,590,1715
010042698.01,1,1,1610,845,615,56,645,535,1540
010043060.01,3,1,2215,480,615,156,630,390,1300
010043583.02,1,1,1950,670,700,140,705,760,1945
010044254.01,1,1,1630,960,830,30,900,420,1600
010044740.01,1,1,1700,880,740,22,758,437,1515
010044740.02,1,1,1934,806,900,27.5555555556,1400,120,1600
010045224.02,1,1,1500,870,530,30,600,510,1430
010045943.01,2,2,1630,860,650,62,852,408,1540
010045943.02,1,2,2045,685,810,16,835,190,1145
010047741.01,4,2,1720,910,830,16,850,490,1700
010047741.02,2,2,1650,765,535,26,550,647,1637
010049745.04,1,1,2010,820,950,12,1000,600,2000
010050385.02,1,2,2101,509,530,45.5,600,510,1430
010051403.01,3,1,1730,780,630,82,730,480,1530
010051430.01,4,1,1815,780,715,42,815,545,1720
