# file...... output/IEEE_123_feeder_0_EV6.csv
# date...... Thu Dec 13 16:22:36 2018
# user...... mukh614
# host...... (null)
# target.... load 792
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,constant_power_A
2013-08-28 00:00:00 PST,+200000+0j
2013-08-28 00:01:00 PST,+200000+0j
2013-08-28 00:02:00 PST,+200000+0j
2013-08-28 00:03:00 PST,+200000+0j
2013-08-28 00:04:00 PST,+200000+0j
2013-08-28 00:05:00 PST,+200000+0j
2013-08-28 00:06:00 PST,+200000+0j
2013-08-28 00:07:00 PST,+200000+0j
2013-08-28 00:08:00 PST,+200000+0j
2013-08-28 00:09:00 PST,+200000+0j
2013-08-28 00:10:00 PST,+200000+0j
2013-08-28 00:11:00 PST,+200000+0j
2013-08-28 00:12:00 PST,+200000+0j
2013-08-28 00:13:00 PST,+200000+0j
2013-08-28 00:14:00 PST,+200000+0j
2013-08-28 00:15:00 PST,+200000+0j
2013-08-28 00:16:00 PST,+200000+0j
2013-08-28 00:17:00 PST,+200000+0j
2013-08-28 00:18:00 PST,+200000+0j
2013-08-28 00:19:00 PST,+200000+0j
2013-08-28 00:20:00 PST,+200000+0j
2013-08-28 00:21:00 PST,+200000+0j
2013-08-28 00:22:00 PST,+200000+0j
2013-08-28 00:23:00 PST,+200000+0j
2013-08-28 00:24:00 PST,+200000+0j
2013-08-28 00:25:00 PST,+200000+0j
2013-08-28 00:26:00 PST,+200000+0j
2013-08-28 00:27:00 PST,+200000+0j
2013-08-28 00:28:00 PST,+200000+0j
2013-08-28 00:29:00 PST,+200000+0j
2013-08-28 00:30:00 PST,+200000+0j
2013-08-28 00:31:00 PST,+200000+0j
2013-08-28 00:32:00 PST,+200000+0j
2013-08-28 00:33:00 PST,+200000+0j
2013-08-28 00:34:00 PST,+200000+0j
2013-08-28 00:35:00 PST,+200000+0j
2013-08-28 00:36:00 PST,+200000+0j
2013-08-28 00:37:00 PST,+200000+0j
2013-08-28 00:38:00 PST,+200000+0j
2013-08-28 00:39:00 PST,+200000+0j
2013-08-28 00:40:00 PST,+200000+0j
2013-08-28 00:41:00 PST,+200000+0j
2013-08-28 00:42:00 PST,+200000+0j
2013-08-28 00:43:00 PST,+200000+0j
2013-08-28 00:44:00 PST,+200000+0j
2013-08-28 00:45:00 PST,+200000+0j
2013-08-28 00:46:00 PST,+200000+0j
2013-08-28 00:47:00 PST,+200000+0j
2013-08-28 00:48:00 PST,+200000+0j
2013-08-28 00:49:00 PST,+200000+0j
2013-08-28 00:50:00 PST,+200000+0j
2013-08-28 00:51:00 PST,+200000+0j
2013-08-28 00:52:00 PST,+200000+0j
2013-08-28 00:53:00 PST,+200000+0j
2013-08-28 00:54:00 PST,+200000+0j
2013-08-28 00:55:00 PST,+200000+0j
2013-08-28 00:56:00 PST,+200000+0j
2013-08-28 00:57:00 PST,+200000+0j
2013-08-28 00:58:00 PST,+200000+0j
2013-08-28 00:59:00 PST,+200000+0j
2013-08-28 01:00:00 PST,+200000+0j
2013-08-28 01:01:00 PST,+200000+0j
2013-08-28 01:02:00 PST,+200000+0j
2013-08-28 01:03:00 PST,+200000+0j
2013-08-28 01:04:00 PST,+200000+0j
2013-08-28 01:05:00 PST,+200000+0j
2013-08-28 01:06:00 PST,+200000+0j
2013-08-28 01:07:00 PST,+200000+0j
2013-08-28 01:08:00 PST,+200000+0j
2013-08-28 01:09:00 PST,+200000+0j
2013-08-28 01:10:00 PST,+200000+0j
2013-08-28 01:11:00 PST,+200000+0j
2013-08-28 01:12:00 PST,+200000+0j
2013-08-28 01:13:00 PST,+200000+0j
2013-08-28 01:14:00 PST,+200000+0j
2013-08-28 01:15:00 PST,+200000+0j
2013-08-28 01:16:00 PST,+200000+0j
2013-08-28 01:17:00 PST,+200000+0j
2013-08-28 01:18:00 PST,+200000+0j
2013-08-28 01:19:00 PST,+200000+0j
2013-08-28 01:20:00 PST,+200000+0j
2013-08-28 01:21:00 PST,+200000+0j
2013-08-28 01:22:00 PST,+200000+0j
2013-08-28 01:23:00 PST,+200000+0j
2013-08-28 01:24:00 PST,+200000+0j
