# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Thu Dec 13 16:22:36 2018
# user...... mukh614
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+0+0j,+2.99897e+06+17.9392d
2013-08-28 00:01:00 PST,+142512+0j,+2.92324e+06+954387j
2013-08-28 00:02:00 PST,+142512+0j,+2.90532e+06+946019j
2013-08-28 00:03:00 PST,+142512+0j,+2.89335e+06+940182j
2013-08-28 00:04:00 PST,+142512+0j,+2.88002e+06+933671j
2013-08-28 00:05:00 PST,+142512+0j,+2.86826e+06+927945j
2013-08-28 00:06:00 PST,+142512+0j,+2.86205e+06+926042j
2013-08-28 00:07:00 PST,+142512+0j,+2.85377e+06+923434j
2013-08-28 00:08:00 PST,+142512+0j,+2.8506e+06+923056j
2013-08-28 00:09:00 PST,+142512+0j,+2.84199e+06+920351j
2013-08-28 00:10:00 PST,+142512+0j,+2.83382e+06+917692j
2013-08-28 00:11:00 PST,+142512+0j,+2.83816e+06+919064j
2013-08-28 00:12:00 PST,+142512+0j,+2.84243e+06+920505j
2013-08-28 00:13:00 PST,+142512+0j,+2.84715e+06+921985j
2013-08-28 00:14:00 PST,+142512+0j,+2.85234e+06+923506j
2013-08-28 00:15:00 PST,+142512+0j,+2.85704e+06+924999j
2013-08-28 00:16:00 PST,+142512+0j,+2.85429e+06+924229j
2013-08-28 00:17:00 PST,+142512+0j,+2.85169e+06+923405j
2013-08-28 00:18:00 PST,+142512+0j,+2.84954e+06+922630j
2013-08-28 00:19:00 PST,+142512+0j,+2.84694e+06+921814j
2013-08-28 00:20:00 PST,+142512+0j,+2.84387e+06+920957j
2013-08-28 00:21:00 PST,+142512+0j,+2.83995e+06+919717j
2013-08-28 00:22:00 PST,+142512+0j,+2.8364e+06+918500j
2013-08-28 00:23:00 PST,+142512+0j,+2.83239e+06+917244j
2013-08-28 00:24:00 PST,+142512+0j,+2.82792e+06+915955j
2013-08-28 00:25:00 PST,+142512+0j,+2.82393e+06+914692j
2013-08-28 00:26:00 PST,+142512+0j,+2.82665e+06+915440j
2013-08-28 00:27:00 PST,+142512+0j,+2.82938e+06+916307j
2013-08-28 00:28:00 PST,+142512+0j,+2.83168e+06+917131j
2013-08-28 00:29:00 PST,+142512+0j,+2.83442e+06+917989j
2013-08-28 00:30:00 PST,+142512+0j,+2.83762e+06+918884j
2013-08-28 00:31:00 PST,+142512+0j,+2.83673e+06+918612j
2013-08-28 00:32:00 PST,+142512+0j,+2.83507e+06+918195j
2013-08-28 00:33:00 PST,+142512+0j,+2.83386e+06+917809j
2013-08-28 00:34:00 PST,+142512+0j,+2.8331e+06+917465j
2013-08-28 00:35:00 PST,+142512+0j,+2.83188e+06+917089j
2013-08-28 00:36:00 PST,+142512+0j,+2.83145e+06+917061j
2013-08-28 00:37:00 PST,+142512+0j,+2.83162e+06+917106j
2013-08-28 00:38:00 PST,+142512+0j,+2.83223e+06+917192j
2013-08-28 00:39:00 PST,+142512+0j,+2.83238e+06+917246j
2013-08-28 00:40:00 PST,+142512+0j,+2.83209e+06+917259j
2013-08-28 00:41:00 PST,+142512+0j,+2.82549e+06+915178j
2013-08-28 00:42:00 PST,+142512+0j,+2.81846e+06+912875j
2013-08-28 00:43:00 PST,+142512+0j,+2.81099e+06+910534j
2013-08-28 00:44:00 PST,+142512+0j,+2.80308e+06+908174j
